Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MO,COLUMBIA 93,MO,FREDERICK DOUGLASS HIGH,290100002281,2013,Students absent 15 or more school dates during school year,M,2.00,5.00,0.00,5.00,26.00,29.00,2.00,69.00,11.00,2.00,2.00
MO,COLUMBIA 93,MO,FREDERICK DOUGLASS HIGH,290100002281,2013,Students absent 15 or more school dates during school year,F,0.00,2.00,0.00,2.00,50.00,29.00,11.00,94.00,11.00,2.00,5.00
MO,COLUMBIA 93,MO,FREDERICK DOUGLASS HIGH,290100002281,2013,Total enrollment,M,2.00,8.00,0.00,8.00,38.00,32.00,2.00,90.00,10.00,2.00,11.00
MO,COLUMBIA 93,MO,FREDERICK DOUGLASS HIGH,290100002281,2013,Total enrollment,F,0.00,8.00,0.00,5.00,56.00,32.00,11.00,112.00,13.00,2.00,11.00
MO,COLUMBIA 93,MO,JUVENILE JUSTICE CTR.,290100002577,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MO,COLUMBIA 93,MO,JUVENILE JUSTICE CTR.,290100002577,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MO,COLUMBIA 93,MO,JUVENILE JUSTICE CTR.,290100002577,2013,Total enrollment,M,0.00,0.00,0.00,0.00,5.00,5.00,2.00,12.00,0.00,0.00,0.00
MO,COLUMBIA 93,MO,JUVENILE JUSTICE CTR.,290100002577,2013,Total enrollment,F,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
MO,ALTON R-IV,MO,ALTON HIGH,290306000016,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,2.00,0.00,0.00
MO,ALTON R-IV,MO,ALTON HIGH,290306000016,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,2.00,0.00,0.00
