Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,BROADWAY ARTS & TECHNOLOGY,272124003106,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,BROADWAY ARTS & TECHNOLOGY,272124003106,2013,Students absent 15 or more school dates during school year,F,5.00,5.00,0.00,38.00,47.00,2.00,0.00,97.00,5.00,0.00,29.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,BROADWAY ARTS & TECHNOLOGY,272124003106,2013,Total enrollment,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,BROADWAY ARTS & TECHNOLOGY,272124003106,2013,Total enrollment,F,5.00,5.00,0.00,38.00,47.00,2.00,0.00,97.00,13.00,0.00,29.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,SPAN,272124004148,2013,Students absent 15 or more school dates during school year,M,8.00,0.00,0.00,5.00,35.00,2.00,2.00,52.00,29.00,0.00,2.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,SPAN,272124004148,2013,Students absent 15 or more school dates during school year,F,2.00,0.00,0.00,2.00,11.00,0.00,0.00,15.00,8.00,0.00,2.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,SPAN,272124004148,2013,Total enrollment,M,11.00,0.00,0.00,11.00,83.00,8.00,2.00,115.00,115.00,0.00,8.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,SPAN,272124004148,2013,Total enrollment,F,2.00,0.00,0.00,11.00,29.00,2.00,0.00,44.00,46.00,0.00,11.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,ANISHINABE ACADEMY,272124004172,2013,Students absent 15 or more school dates during school year,M,77.00,0.00,0.00,2.00,5.00,2.00,5.00,91.00,23.00,0.00,0.00
MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,MN,ANISHINABE ACADEMY,272124004172,2013,Students absent 15 or more school dates during school year,F,68.00,0.00,0.00,5.00,11.00,0.00,8.00,92.00,14.00,0.00,0.00
