Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MA,ASHLAND,MA,ASHLAND MIDDLE,250210000938,2013,Students absent 15 or more school dates during school year,M,0.00,2.00,0.00,0.00,0.00,14.00,2.00,18.00,5.00,2.00,0.00
MA,ASHLAND,MA,ASHLAND MIDDLE,250210000938,2013,Students absent 15 or more school dates during school year,F,0.00,2.00,0.00,0.00,0.00,11.00,5.00,18.00,2.00,2.00,2.00
MA,ASHLAND,MA,ASHLAND MIDDLE,250210000938,2013,Total enrollment,M,2.00,26.00,0.00,0.00,5.00,203.00,41.00,277.00,55.00,5.00,2.00
MA,ASHLAND,MA,ASHLAND MIDDLE,250210000938,2013,Total enrollment,F,2.00,20.00,0.00,0.00,8.00,221.00,29.00,280.00,28.00,2.00,5.00
MA,BARNSTABLE,MA,BARNSTABLE HIGH,250231000116,2013,Students absent 15 or more school dates during school year,M,5.00,2.00,0.00,32.00,23.00,134.00,11.00,207.00,14.00,41.00,17.00
MA,BARNSTABLE,MA,BARNSTABLE HIGH,250231000116,2013,Students absent 15 or more school dates during school year,F,5.00,8.00,0.00,29.00,11.00,164.00,14.00,231.00,14.00,32.00,17.00
MA,BARNSTABLE,MA,BARNSTABLE HIGH,250231000116,2013,Total enrollment,M,11.00,23.00,2.00,77.00,56.00,731.00,29.00,929.00,124.00,41.00,35.00
MA,BARNSTABLE,MA,BARNSTABLE HIGH,250231000116,2013,Total enrollment,F,11.00,29.00,2.00,59.00,50.00,779.00,44.00,974.00,103.00,32.00,32.00
MA,BELCHERTOWN,MA,JABISH MIDDLE SCHOOL,250243001873,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,2.00,2.00,2.00,29.00,2.00,37.00,14.00,5.00,0.00
MA,BELCHERTOWN,MA,JABISH MIDDLE SCHOOL,250243001873,2013,Students absent 15 or more school dates during school year,F,0.00,2.00,0.00,2.00,0.00,20.00,0.00,24.00,5.00,0.00,0.00
MA,BELCHERTOWN,MA,JABISH MIDDLE SCHOOL,250243001873,2013,Total enrollment,M,2.00,2.00,2.00,5.00,5.00,203.00,5.00,224.00,43.00,11.00,0.00
MA,BELCHERTOWN,MA,JABISH MIDDLE SCHOOL,250243001873,2013,Total enrollment,F,0.00,2.00,0.00,5.00,2.00,161.00,2.00,172.00,19.00,5.00,0.00
MA,BEVERLY,MA,BRISCOE MIDDLE,250264000165,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,14.00,0.00,26.00,2.00,42.00,0.00,2.00,5.00
MA,BEVERLY,MA,BRISCOE MIDDLE,250264000165,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,2.00,2.00,29.00,5.00,38.00,5.00,2.00,0.00
MA,BEVERLY,MA,BRISCOE MIDDLE,250264000165,2013,Total enrollment,M,2.00,8.00,0.00,47.00,14.00,392.00,14.00,477.00,115.00,29.00,11.00
MA,BEVERLY,MA,BRISCOE MIDDLE,250264000165,2013,Total enrollment,F,2.00,11.00,2.00,47.00,11.00,359.00,11.00,443.00,52.00,14.00,2.00
