Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,HOLMES MIDDLE SCHOOL,080306000241,2013,Students absent 15 or more school dates during school year,M,2.00,0.00,0.00,11.00,2.00,35.00,5.00,55.00,5.00,5.00,2.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,HOLMES MIDDLE SCHOOL,080306000241,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,14.00,2.00,26.00,5.00,47.00,5.00,5.00,0.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,HOLMES MIDDLE SCHOOL,080306000241,2013,Total enrollment,M,2.00,5.00,0.00,80.00,11.00,248.00,20.00,366.00,28.00,17.00,11.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,HOLMES MIDDLE SCHOOL,080306000241,2013,Total enrollment,F,0.00,5.00,0.00,77.00,8.00,224.00,20.00,334.00,16.00,5.00,5.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,MANN MIDDLE SCHOOL,080306000242,2013,Students absent 15 or more school dates during school year,M,2.00,0.00,0.00,23.00,2.00,32.00,2.00,61.00,8.00,5.00,2.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,MANN MIDDLE SCHOOL,080306000242,2013,Students absent 15 or more school dates during school year,F,0.00,2.00,0.00,20.00,5.00,32.00,5.00,64.00,8.00,0.00,8.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,MANN MIDDLE SCHOOL,080306000242,2013,Total enrollment,M,5.00,5.00,2.00,71.00,8.00,134.00,23.00,248.00,37.00,11.00,17.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,MANN MIDDLE SCHOOL,080306000242,2013,Total enrollment,F,5.00,8.00,0.00,62.00,11.00,110.00,20.00,216.00,19.00,2.00,20.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,NORTH MIDDLE SCHOOL,080306000256,2013,Students absent 15 or more school dates during school year,M,2.00,2.00,0.00,41.00,5.00,53.00,2.00,105.00,23.00,5.00,5.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,NORTH MIDDLE SCHOOL,080306000256,2013,Students absent 15 or more school dates during school year,F,2.00,0.00,0.00,32.00,8.00,44.00,11.00,97.00,5.00,2.00,2.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,NORTH MIDDLE SCHOOL,080306000256,2013,Total enrollment,M,2.00,5.00,0.00,113.00,26.00,155.00,20.00,321.00,43.00,8.00,29.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,NORTH MIDDLE SCHOOL,080306000256,2013,Total enrollment,F,2.00,2.00,2.00,107.00,35.00,161.00,29.00,338.00,10.00,2.00,26.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,RUSSELL MIDDLE SCHOOL,080306000263,2013,Students absent 15 or more school dates during school year,M,2.00,0.00,2.00,11.00,2.00,41.00,8.00,66.00,8.00,5.00,2.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,RUSSELL MIDDLE SCHOOL,080306000263,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,23.00,8.00,32.00,5.00,68.00,8.00,5.00,2.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,RUSSELL MIDDLE SCHOOL,080306000263,2013,Total enrollment,M,5.00,5.00,2.00,95.00,26.00,215.00,32.00,380.00,43.00,14.00,23.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,RUSSELL MIDDLE SCHOOL,080306000263,2013,Total enrollment,F,5.00,8.00,2.00,92.00,23.00,176.00,44.00,350.00,19.00,11.00,23.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,WEST MIDDLE SCHOOL,080306000272,2013,Students absent 15 or more school dates during school year,M,0.00,2.00,0.00,8.00,0.00,17.00,5.00,32.00,8.00,2.00,0.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,WEST MIDDLE SCHOOL,080306000272,2013,Students absent 15 or more school dates during school year,F,2.00,0.00,0.00,5.00,2.00,20.00,8.00,37.00,5.00,0.00,0.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,WEST MIDDLE SCHOOL,080306000272,2013,Total enrollment,M,2.00,5.00,0.00,38.00,2.00,77.00,8.00,132.00,13.00,5.00,11.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,WEST MIDDLE SCHOOL,080306000272,2013,Total enrollment,F,5.00,2.00,0.00,50.00,5.00,71.00,11.00,144.00,10.00,0.00,11.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,JENKINS MIDDLE SCHOOL,080306001683,2013,Students absent 15 or more school dates during school year,M,2.00,2.00,0.00,17.00,2.00,35.00,2.00,60.00,8.00,5.00,2.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,JENKINS MIDDLE SCHOOL,080306001683,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,14.00,8.00,44.00,11.00,77.00,8.00,2.00,2.00
CO,COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,CO,JENKINS MIDDLE SCHOOL,080306001683,2013,Total enrollment,M,5.00,14.00,2.00,80.00,29.00,308.00,38.00,476.00,37.00,20.00,14.00
