Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
IA,West Monona Comm School District,IA,West Monona Middle Sch,193111000738,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,23.00,2.00,25.00,2.00,0.00,0.00
IA,West Monona Comm School District,IA,West Monona Middle Sch,193111000738,2015,Students absent 15 or more school dates during school year,F,0.00,2.00,0.00,0.00,0.00,17.00,0.00,19.00,5.00,0.00,0.00
IA,West Monona Comm School District,IA,West Monona Middle Sch,193111000738,2015,Total enrollment,M,0.00,2.00,0.00,0.00,5.00,77.00,5.00,89.00,16.00,2.00,0.00
IA,West Monona Comm School District,IA,West Monona Middle Sch,193111000738,2015,Total enrollment,F,0.00,2.00,0.00,2.00,2.00,80.00,2.00,88.00,7.00,2.00,0.00
IA,West Sioux Comm School District,IA,West Sioux Middle School,193129001822,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,2.00,0.00,5.00,0.00,7.00,5.00,0.00,2.00
IA,West Sioux Comm School District,IA,West Sioux Middle School,193129001822,2015,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,5.00,0.00,11.00,2.00,18.00,2.00,0.00,2.00
IA,West Sioux Comm School District,IA,West Sioux Middle School,193129001822,2015,Total enrollment,M,2.00,0.00,0.00,26.00,0.00,65.00,2.00,95.00,13.00,2.00,20.00
IA,West Sioux Comm School District,IA,West Sioux Middle School,193129001822,2015,Total enrollment,F,2.00,0.00,0.00,35.00,2.00,56.00,2.00,97.00,7.00,2.00,17.00
IA,Eldora State Training School for Boys,IA,Eldora State Training School for Boys,199908899999,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,11.00,11.00,0.00,22.00,23.00,0.00,0.00
IA,Eldora State Training School for Boys,IA,Eldora State Training School for Boys,199908899999,2015,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Eldora State Training School for Boys,IA,Eldora State Training School for Boys,199908899999,2015,Total enrollment,M,2.00,0.00,0.00,26.00,83.00,128.00,2.00,241.00,130.00,0.00,0.00
IA,Eldora State Training School for Boys,IA,Eldora State Training School for Boys,199908899999,2015,Total enrollment,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,IOWA SCHOOL FOR THE DEAF,IA,IOWA SCHOOL FOR THE DEAF,19SOP0200001,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,2.00,2.00,11.00,0.00,15.00,14.00,0.00,0.00
IA,IOWA SCHOOL FOR THE DEAF,IA,IOWA SCHOOL FOR THE DEAF,19SOP0200001,2015,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,2.00,0.00,2.00,0.00,4.00,5.00,0.00,0.00
IA,IOWA SCHOOL FOR THE DEAF,IA,IOWA SCHOOL FOR THE DEAF,19SOP0200001,2015,Total enrollment,M,0.00,0.00,2.00,11.00,2.00,47.00,0.00,62.00,61.00,0.00,0.00
IA,IOWA SCHOOL FOR THE DEAF,IA,IOWA SCHOOL FOR THE DEAF,19SOP0200001,2015,Total enrollment,F,2.00,2.00,2.00,11.00,2.00,26.00,2.00,47.00,43.00,0.00,0.00
IA,East Marshall Comm School District,IA,East Marshall Middle School,190004000121,2017,Students absent 15 or more school dates during school year,M,,,,,,6.00,,6.00,1.00,1.00,
IA,East Marshall Comm School District,IA,East Marshall Middle School,190004000121,2017,Students absent 15 or more school dates during school year,F,,,,1.00,1.00,15.00,,17.00,3.00,2.00,
IA,GMG Comm School District,IA,GMG Secondary School,190006000179,2017,Students absent 15 or more school dates during school year,M,1.00,,,1.00,,21.00,,23.00,3.00,,
IA,GMG Comm School District,IA,GMG Secondary School,190006000179,2017,Students absent 15 or more school dates during school year,F,2.00,,,4.00,,20.00,,26.00,3.00,,
IA,AGWSR Comm School District,IA,AGWSR Middle School,190306000634,2017,Students absent 15 or more school dates during school year,M,,,,1.00,,5.00,,6.00,1.00,,
IA,AGWSR Comm School District,IA,AGWSR Middle School,190306000634,2017,Students absent 15 or more school dates during school year,F,,,,1.00,,6.00,,7.00,2.00,,
IA,Aplington-Parkersburg Comm School District,IA,Aplington / Parkersburg Middle School,190375000082,2017,Students absent 15 or more school dates during school year,M,,,,,,7.00,,7.00,1.00,,
IA,Aplington-Parkersburg Comm School District,IA,Aplington / Parkersburg Middle School,190375000082,2017,Students absent 15 or more school dates during school year,F,,,,,,5.00,,5.00,,,
IA,Ar-We-Va Comm School District,IA,Westside Junior-Senior High School,190378000085,2017,Students absent 15 or more school dates during school year,M,,,,,1.00,3.00,,4.00,1.00,,
IA,Ar-We-Va Comm School District,IA,Westside Junior-Senior High School,190378000085,2017,Students absent 15 or more school dates during school year,F,,,,1.00,,1.00,,2.00,2.00,,
IA,Atlantic Comm School District,IA,Atlantic Middle School,190393000093,2017,Students absent 15 or more school dates during school year,M,,,,1.00,,8.00,,9.00,1.00,1.00,2.00
IA,Atlantic Comm School District,IA,Atlantic Middle School,190393000093,2017,Students absent 15 or more school dates during school year,F,,,,,,14.00,1.00,15.00,3.00,,
IA,Benton Comm School District,IA,Benton Community Middle School,190483001987,2017,Students absent 15 or more school dates during school year,M,,,,1.00,,2.00,,3.00,2.00,,
IA,Benton Comm School District,IA,Benton Community Middle School,190483001987,2017,Students absent 15 or more school dates during school year,F,,,,,,13.00,,13.00,3.00,,
IA,Bettendorf Comm School District,IA,Bettendorf Middle School,190486000143,2017,Students absent 15 or more school dates during school year,M,,,,5.00,5.00,22.00,,32.00,14.00,1.00,
IA,Bettendorf Comm School District,IA,Bettendorf Middle School,190486000143,2017,Students absent 15 or more school dates during school year,F,1.00,3.00,,5.00,8.00,30.00,1.00,48.00,8.00,1.00,2.00
IA,Eddyville-Blakesburg- Fremont CSD,IA,Eddyville-Blakesburg- Fremont Jr/Sr High,190495000668,2017,Students absent 15 or more school dates during school year,M,,,,1.00,,11.00,,12.00,4.00,1.00,
IA,Eddyville-Blakesburg- Fremont CSD,IA,Eddyville-Blakesburg- Fremont Jr/Sr High,190495000668,2017,Students absent 15 or more school dates during school year,F,,,,,,12.00,,12.00,3.00,,
IA,Cedar Falls Comm School District,IA,Holmes Junior High School,190651000224,2017,Students absent 15 or more school dates during school year,M,,3.00,,1.00,1.00,36.00,3.00,44.00,8.00,2.00,
IA,Cedar Falls Comm School District,IA,Holmes Junior High School,190651000224,2017,Students absent 15 or more school dates during school year,F,,,,1.00,4.00,25.00,1.00,31.00,8.00,1.00,
IA,Cedar Rapids Comm School District,IA,Wilson Middle School,190654000267,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,8.00,26.00,5.00,39.00,8.00,2.00,0.00
IA,Cedar Rapids Comm School District,IA,Wilson Middle School,190654000267,2015,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,5.00,11.00,20.00,2.00,38.00,5.00,0.00,0.00
IA,Cedar Rapids Comm School District,IA,Wilson Middle School,190654000267,2015,Total enrollment,M,0.00,2.00,2.00,8.00,29.00,140.00,14.00,195.00,40.00,14.00,0.00
IA,Cedar Rapids Comm School District,IA,Wilson Middle School,190654000267,2015,Total enrollment,F,0.00,0.00,0.00,14.00,26.00,125.00,8.00,173.00,25.00,2.00,0.00
IA,Centerville Comm School District,IA,Howar Junior High School,190675000279,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,5.00,0.00,0.00
IA,Centerville Comm School District,IA,Howar Junior High School,190675000279,2015,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,2.00,0.00,0.00
IA,Centerville Comm School District,IA,Howar Junior High School,190675000279,2015,Total enrollment,M,2.00,2.00,0.00,2.00,0.00,119.00,0.00,125.00,19.00,0.00,2.00
IA,Centerville Comm School District,IA,Howar Junior High School,190675000279,2015,Total enrollment,F,0.00,2.00,0.00,2.00,0.00,92.00,0.00,96.00,10.00,0.00,0.00
IA,Chariton Comm School District,IA,Chariton Middle School,190705000314,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,2.00,2.00,32.00,0.00,36.00,11.00,2.00,5.00
IA,Chariton Comm School District,IA,Chariton Middle School,190705000314,2015,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,2.00,0.00,17.00,0.00,19.00,2.00,2.00,2.00
IA,Chariton Comm School District,IA,Chariton Middle School,190705000314,2015,Total enrollment,M,0.00,2.00,0.00,5.00,2.00,140.00,2.00,151.00,25.00,5.00,11.00
IA,Chariton Comm School District,IA,Chariton Middle School,190705000314,2015,Total enrollment,F,2.00,0.00,0.00,2.00,2.00,131.00,2.00,139.00,22.00,2.00,5.00
IA,Charter Oak-Ute Comm School District,IA,Charter Oak-Ute Junior High School,190711000328,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,2.00,0.00,0.00
IA,Charter Oak-Ute Comm School District,IA,Charter Oak-Ute Junior High School,190711000328,2015,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,0.00
IA,Charter Oak-Ute Comm School District,IA,Charter Oak-Ute Junior High School,190711000328,2015,Total enrollment,M,0.00,0.00,0.00,2.00,0.00,29.00,0.00,31.00,7.00,0.00,0.00
IA,Charter Oak-Ute Comm School District,IA,Charter Oak-Ute Junior High School,190711000328,2015,Total enrollment,F,0.00,0.00,0.00,2.00,0.00,29.00,0.00,31.00,0.00,0.00,0.00
IA,Clear Creek Amana Comm School District,IA,Clear Creek Amana Middle School,190759001903,2015,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,5.00,2.00,20.00,5.00,32.00,8.00,2.00,2.00
