Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NE,NORTHWEST PUBLIC SCHOOLS,NE,ST LIBORY ELEMENTARY SCHOOL,317458000965,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,0.00
NE,NORTHWEST PUBLIC SCHOOLS,NE,ST LIBORY ELEMENTARY SCHOOL,317458000965,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NE,NORTHWEST PUBLIC SCHOOLS,NE,ST LIBORY ELEMENTARY SCHOOL,317458000965,2013,Total enrollment,M,0.00,2.00,0.00,2.00,0.00,41.00,0.00,45.00,0.00,0.00,0.00
NE,NORTHWEST PUBLIC SCHOOLS,NE,ST LIBORY ELEMENTARY SCHOOL,317458000965,2013,Total enrollment,F,2.00,0.00,0.00,2.00,0.00,47.00,0.00,51.00,0.00,0.00,0.00
NE,OGALLALA PUBLIC SCHOOLS,NE,OGALLALA MIDDLE SCHOOL,317476001342,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,2.00,0.00,14.00,0.00,16.00,2.00,0.00,0.00
NE,OGALLALA PUBLIC SCHOOLS,NE,OGALLALA MIDDLE SCHOOL,317476001342,2013,Students absent 15 or more school dates during school year,F,2.00,0.00,0.00,2.00,0.00,23.00,2.00,29.00,2.00,2.00,0.00
NE,OGALLALA PUBLIC SCHOOLS,NE,OGALLALA MIDDLE SCHOOL,317476001342,2013,Total enrollment,M,2.00,0.00,2.00,8.00,0.00,86.00,2.00,100.00,13.00,8.00,0.00
NE,OGALLALA PUBLIC SCHOOLS,NE,OGALLALA MIDDLE SCHOOL,317476001342,2013,Total enrollment,F,2.00,2.00,0.00,11.00,0.00,80.00,2.00,97.00,4.00,5.00,0.00
NE,OSMOND COMMUNITY SCHOOLS,NE,OSMOND HIGH SCHOOL,317503001460,2013,Students absent 15 or more school dates during school year,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
NE,OSMOND COMMUNITY SCHOOLS,NE,OSMOND HIGH SCHOOL,317503001460,2013,Students absent 15 or more school dates during school year,F,0.00,0.00,0.00,2.00,0.00,2.00,0.00,4.00,0.00,0.00,0.00
